;coef
Liechtenstein;1596.3653846153845
Monaco;1590.5865384615386
Luxembourg;1026.9807692307693
Bermuda;982.6153846153846
China, Macao SAR;777.8173076923077
Switzerland;770.2019230769231
Norway;723.9903846153846
Iceland;702.5
Ireland;669.2692307692307
Cayman Islands;629.5384615384615
Qatar;610.6346153846154
United States;577.4519230769231
Australia;553.9711538461538
Denmark;553.2019230769231
Singapore;545.5480769230769
Sweden;519.6442307692307
San Marino;486.4230769230769
Greenland;474.9807692307692
Netherlands;468.78846153846155
Austria;458.8269230769231
Hong Kong (S.A.R.);446.0576923076923
Finland;439.13461538461536
Germany;432.46153846153845
Canada;432.4423076923077
Belgium;416.24038461538464
New Zealand;412.83653846153845
Israel;408.1923076923077
United Arab Emirates;391.33653846153845
United Kingdom;382.28846153846155
Andorra;376.47115384615387
France;369.375
Japan;367.5
New Caledonia;344.375
Italy;314.875
British Virgin Islands;306.8942307692308
Republic of Korea;288.7019230769231
South Korea;288.7019230769231
Bahamas;286.77884615384613
Malta;280.16346153846155
Kuwait;277.8557692307692
Turks and Caicos Islands;275.8557692307692
Puerto Rico;273.5673076923077
Spain;272.63461538461536
Brunei Darussalam;272.02884615384613
Cyprus;247.98076923076923
Aruba;246.68269230769232
Bahrain;227.57692307692307
Slovenia;224.0
Saudi Arabia;199.625
Czech Republic;195.44230769230768
French Polynesia;190.45192307692307
Estonia;190.31730769230768
Portugal;181.55769230769232
Anguilla;181.35576923076923
Greece;174.98076923076923
Cook Islands;171.1346153846154
Slovakia;168.76923076923077
Uruguay;164.6153846153846
Saint Kitts and Nevis;161.71153846153845
Barbados;158.59615384615384
Lithuania;158.17307692307693
Trinidad and Tobago;155.2403846153846
Seychelles;150.89423076923077
Latvia;150.2403846153846
Chile;147.56730769230768
Oman;146.79807692307693
Panama;145.07692307692307
Antigua and Barbuda;142.33653846153845
Argentina;138.46153846153845
Hungary;138.23076923076923
Poland;132.55769230769232
Palau;129.0096153846154
Croatia;126.70192307692308
Costa Rica;112.82692307692308
Montserrat;111.36538461538461
Maldives;107.22115384615384
Russian Federation;105.34615384615384
Romania;103.49038461538461
Mauritius;101.58653846153847
Turkey;101.40384615384616
Grenada;100.49038461538461
Nauru;96.58653846153847
Malaysia;95.6826923076923
Equatorial Guinea;94.71153846153847
Brazil;94.4326923076923
Saint Lucia;92.375
Mexico;86.22115384615384
Lebanon;84.40384615384616
Kazakhstan;84.1923076923077
China;83.48076923076923
Cuba;81.08653846153847
Bulgaria;79.01923076923077
Venezuela, Bolivarian Republic of...;76.70192307692308
Montenegro;74.0673076923077
Botswana;73.03846153846153
Gabon;69.4326923076923
Saint Vincent and the Grenadines;68.25961538461539
Dominican Republic;67.8076923076923
Suriname;64.97115384615384
Dominica;64.60576923076923
Taiwan;63.41346153846154
Thailand;63.41346153846154
Turkmenistan;63.31730769230769
Peru;63.19230769230769
Colombia;60.59615384615385
Ecuador;60.31730769230769
South Africa;59.14423076923077
Serbia;56.84615384615385
Belarus;55.28846153846154
Iran;54.61538461538461
North Macedonia;52.06730769230769
Fiji;51.75
Namibia;50.25961538461539
Bosnia and Herzegovina;49.81730769230769
Jamaica;49.32692307692308
Belize;48.81730769230769
Iraq;45.73076923076923
Guyana;43.79807692307692
Guatemala;42.99038461538461
Albania;42.78846153846154
Samoa;41.88461538461539
Paraguay;41.55769230769231
Angola;40.83653846153846
Jordan;40.34615384615385
Sri Lanka;40.23076923076923
Azerbaijan;39.86538461538461
Kosovo;39.57692307692308
Algeria;38.99038461538461
Tonga;37.98076923076923
Libyan Arab Jamahiriya;37.90384615384615
Libya;37.90384615384615
Armenia;37.85576923076923
Tuvalu;37.73076923076923
El Salvador;37.39423076923077
Georgia;37.25961538461539
Indonesia;36.99038461538461
Marshall Islands;36.08653846153846
Mongolia;34.80769230769231
Tunisia;33.41346153846154
Bolivia;32.63461538461539
Cape Verde;31.201923076923077
Swaziland;31.0
Micronesia (Fed. States of);30.653846153846153
Bhutan;30.509615384615383
Vanuatu;30.076923076923077
Morocco;29.51923076923077
Philippines;28.740384615384617
Sudan;28.528846153846153
State of Palestine;28.326923076923077
Papua New Guinea;25.64423076923077
Ukraine;24.384615384615383
Honduras;23.846153846153847
Lao People's Democratic Republic;23.625
Viet Nam;22.51923076923077
Timor-Leste;21.91346153846154
Nicaragua;21.365384615384617
Congo, Republic of the...;20.64423076923077
Ghana;19.673076923076923
Republic of Moldova;19.28846153846154
Egypt;19.23076923076923
Solomon Islands;19.057692307692307
Nigeria;18.932692307692307
Djibouti;18.53846153846154
India;18.490384615384617
Sao Tome and Principe;18.471153846153847
Kiribati;16.28846153846154
Ivory Coast;15.057692307692308
Uzbekistan;14.971153846153847
Pakistan;14.75
Zambia;14.548076923076923
Kenya;14.052019
Bangladesh;14.346153846153847
Cameroon;13.961538461538462
Cambodia;13.288461538461538
Senegal;12.817307692307692
Comoros;12.788461538461538
Myanmar;12.086538461538462
Kyrgyzstan;12.028846153846153
Lesotho;11.326923076923077
Eritrea;11.028846153846153
Mauritania;10.85576923076923
Zimbabwe;10.490384615384615
Yemen;9.51923076923077
United Republic of Tanzania;8.98076923076923
Zanzibar;8.846153846153847
Nepal;8.163461538461538
Syrian Arab Republic;7.990384615384615
Benin;7.9423076923076925
Mali;7.903846153846154
Guinea;7.721153846153846
Tajikistan;7.701923076923077
Haiti;7.461538461538462
Rwanda;7.1923076923076925
Guinea-Bissau;6.961538461538462
Ethiopia;6.923076923076923
Chad;6.913461538461538
Gambia;6.8173076923076925
North Korea;6.586538461538462
Democratic People's Republic of Korea;6.586538461538462
Uganda;6.211538461538462
Burkina Faso;6.173076923076923
Afghanistan;5.951923076923077
Togo;5.903846153846154
Liberia;5.615384615384615
Madagascar;4.971153846153846
Sierra Leone;4.759615384615385
Democratic Republic of the Congo;4.451923076923077
South Sudan;4.355769230769231
Central African Republic;4.115384615384615
Mozambique;4.096153846153846
Niger;3.6346153846153846
Malawi;3.269230769230769
Burundi;2.7884615384615383
Somalia;1.0
